id,client_id,card_brand,card_type,expires,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
4524,825,Visa,Debit,12/2022,YES,2,$24295,09/2002,2008,No
2731,825,Visa,Debit,12/2020,YES,2,$21968,04/2014,2014,No
3701,825,Visa,Debit,02/2024,YES,2,$46414,07/2003,2004,No
42,825,Visa,Credit,08/2024,NO,1,$12400,01/2003,2012,No
4659,825,Mastercard,Debit (Prepaid),03/2009,YES,1,$28,09/2008,2009,No
4537,1746,Visa,Credit,09/2003,YES,1,$27500,09/2003,2012,No
1278,1746,Visa,Debit,07/2022,YES,2,$28508,02/2011,2011,No
3687,1746,Mastercard,Debit,06/2022,YES,2,$9022,07/2003,2015,No
3465,1746,Mastercard,Debit (Prepaid),11/2020,YES,2,$54,06/2010,2015,No
3754,1746,Mastercard,Debit (Prepaid),02/2023,YES,1,$99,07/2006,2012,No
5144,1718,Mastercard,Debit,03/2022,YES,2,$31599,10/2009,2009,No
2029,1718,Mastercard,Debit,07/2023,NO,2,$27480,03/2002,2008,No
2379,1718,Mastercard,Debit,02/2020,YES,1,$26743,03/2019,2019,No
2732,1718,Visa,Debit,06/2020,YES,1,$31463,04/2014,2014,No
4706,1718,Mastercard,Debit,06/2024,YES,1,$16055,09/2009,2009,No
281,708,Visa,Credit,05/2015,YES,2,$98100,01/2011,2011,No
1106,708,Mastercard,Debit (Prepaid),06/2020,YES,1,$62,02/2007,2007,No
5621,708,Visa,Debit,06/2022,YES,1,$132439,11/2010,2011,No
5165,708,Visa,Debit,06/2020,YES,1,$125723,10/2009,2010,No
5757,1164,Mastercard,Debit,01/2022,YES,1,$34900,12/1999,2012,No
27,68,Visa,Credit,09/2021,YES,2,$9900,01/2002,2019,No
4648,68,Visa,Debit,07/2013,YES,2,$21587,09/2007,2007,No
5435,68,Visa,Credit,11/2022,YES,2,$15800,11/2005,2011,No
3287,1075,Mastercard,Debit,04/2022,YES,1,$29964,06/2005,2014,No
4761,1075,Mastercard,Credit,07/2023,YES,2,$11200,09/2010,2010,No
5286,1075,Mastercard,Debit,12/2021,NO,2,$26753,10/2014,2014,No
744,1711,Visa,Debit,05/2023,NO,2,$17480,01/2020,2020,No
5559,1116,Mastercard,Debit,09/2021,YES,2,$26546,11/2009,2009,No
4905,1116,Mastercard,Debit,01/2021,YES,1,$23253,09/2017,2017,No
79,1116,Visa,Credit,02/2021,YES,1,$16100,01/2005,2014,No
301,1116,Visa,Credit,02/2021,YES,2,$8700,01/2012,2012,No
3115,1116,Mastercard,Debit,01/2019,YES,1,$29333,05/2012,2012,No
3880,1752,Mastercard,Debit,07/2024,YES,2,$9496,07/2009,2012,No
1766,192,Visa,Debit,07/2021,YES,1,$25499,02/2020,2020,No
1767,192,Visa,Debit,02/2020,YES,1,$18641,02/2020,2020,No
745,640,Visa,Debit,05/2023,YES,1,$26019,01/2020,2020,No
1459,1679,Mastercard,Debit,01/2021,YES,1,$25845,02/2020,2020,No
138,1094,Visa,Debit,06/2023,YES,2,$2365,01/2007,2009,No
3755,1094,Mastercard,Debit,06/2023,YES,2,$18684,07/2006,2017,No
1768,1094,Visa,Credit,02/2021,NO,2,$7400,02/2020,2020,No
5924,1590,Mastercard,Debit,12/2024,YES,2,$4147,12/2008,2016,No
6074,1660,Visa,Debit (Prepaid),04/2022,YES,1,$76,12/2012,2012,No
5923,1660,Discover,Credit,01/2009,NO,1,$4700,12/2008,2014,No
4223,1660,Visa,Credit,06/2021,YES,2,$5800,08/2007,2011,No
4455,1660,Mastercard,Debit,03/2024,YES,2,$12082,08/2016,2016,No
3234,1660,Mastercard,Credit,03/2023,NO,2,$6000,06/2002,2010,No
1005,1660,Visa,Debit,11/2009,YES,1,$620,02/2002,2014,No
151,1747,Mastercard,Debit,08/2022,YES,1,$14499,01/2008,2008,No
4198,1747,Mastercard,Debit,07/2023,YES,2,$12332,08/2007,2009,No
4403,1747,Mastercard,Debit,09/2024,YES,1,$18424,08/2013,2013,No
4120,1747,Visa,Credit,07/2023,NO,1,$15400,08/2003,2008,No
4224,1747,Visa,Debit,02/2022,YES,2,$14548,08/2007,2013,No
4895,1747,Mastercard,Credit,12/2016,YES,2,$10100,09/2016,2016,No
1028,153,Discover,Credit,04/2011,YES,1,$11200,02/2004,2008,No
5956,153,Mastercard,Debit,10/2024,YES,2,$20291,12/2009,2011,No
107,153,Visa,Debit,08/2018,YES,1,$32092,01/2006,2010,No
440,153,Mastercard,Debit,02/2020,YES,1,$20463,01/2020,2020,No
746,429,Visa,Debit,08/2022,YES,1,$15802,01/2020,2020,No
1769,429,Visa,Debit,02/2020,NO,2,$4612,02/2020,2020,No
421,429,Discover,Credit,07/2020,YES,2,$19900,01/2020,2020,No
974,511,Mastercard,Debit (Prepaid),10/2020,YES,1,$73,02/2000,2012,No
4707,511,Mastercard,Debit,01/2024,YES,1,$11858,09/2009,2010,No
7,511,Mastercard,Debit,03/2005,YES,1,$9664,01/1998,2011,No
2212,511,Mastercard,Debit,06/2020,YES,1,$8367,03/2009,2009,No
1038,511,Visa,Credit,06/2022,YES,2,$6100,02/2004,2009,No
1460,309,Mastercard,Debit,02/2020,YES,3,$9944,02/2020,2020,No
747,309,Visa,Credit,01/2020,YES,1,$7900,01/2020,2020,No
1770,309,Visa,Credit,12/2020,YES,1,$5600,02/2020,2020,No
748,777,Visa,Debit,08/2023,YES,1,$68400,01/2020,2020,No
441,777,Mastercard,Debit,04/2023,YES,2,$77237,01/2020,2020,No
3679,1946,Visa,Debit,08/2024,YES,2,$4488,07/2002,2015,No
5701,1946,Visa,Credit,02/2020,YES,2,$12500,11/2014,2014,No
4510,1674,Mastercard,Debit,12/2020,YES,2,$23432,09/2001,2008,No
2873,1674,Amex,Credit,05/2022,YES,2,$8800,05/2005,2011,No
1461,482,Mastercard,Credit,02/2020,YES,2,$12100,02/2020,2020,No
442,877,Mastercard,Debit,02/2020,YES,1,$9708,01/2020,2020,No
3877,877,Amex,Credit,11/2021,YES,2,$12000,07/2009,2011,No
2296,877,Mastercard,Debit,11/2023,YES,1,$11973,03/2012,2012,No
5048,128,Mastercard,Debit,02/2022,YES,2,$13601,10/2006,2014,No
1462,128,Mastercard,Credit,01/2024,YES,2,$7800,02/2020,2020,No
4269,775,Visa,Debit,10/2023,YES,2,$17816,08/2008,2016,No
