id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7475327,2010-01-01 00:01:00,1556,2972,$-77.00,Swipe Transaction,59935,Beulah,ND,58523.0,5499,
7475479,2010-01-01 03:51:00,1209,3387,$4.39,Swipe Transaction,50783,New Rochelle,NY,10801.0,5411,
7475600,2010-01-01 06:08:00,1381,3738,$5.41,Swipe Transaction,11264,Mentor,OH,44060.0,5812,
7475922,2010-01-01 07:33:00,1575,224,$0.71,Swipe Transaction,14528,Sarasota,FL,34235.0,5499,
7476035,2010-01-01 08:01:00,1315,5434,$0.99,Swipe Transaction,14528,Louisville,IL,62858.0,5499,
7476183,2010-01-01 08:38:00,55,5865,$3.72,Swipe Transaction,33912,Richmond,CA,94804.0,5921,
7476229,2010-01-01 08:51:00,65,4585,$1.88,Swipe Transaction,30317,West Columbia,SC,29172.0,5411,
7476412,2010-01-01 09:33:00,912,3845,$12.11,Swipe Transaction,59935,Miami,FL,33186.0,5499,
7476456,2010-01-01 09:41:00,1733,5013,$4.07,Swipe Transaction,20519,Paducah,KY,42003.0,5942,
7477153,2010-01-01 12:08:00,683,4731,$11.09,Swipe Transaction,61195,State College,PA,16801.0,5541,
7477289,2010-01-01 12:31:00,1881,2554,$60.19,Swipe Transaction,93700,Carleton,MI,48117.0,5300,
7477565,2010-01-01 13:25:00,1963,4565,$23.37,Online Transaction,18563,ONLINE,,,4121,
7477650,2010-01-01 13:45:00,1285,3216,$21.60,Swipe Transaction,21461,Annandale,VA,22003.0,5813,
7477852,2010-01-01 14:36:00,1407,4695,$1.95,Swipe Transaction,74357,Bessemer,AL,35023.0,5813,
7478216,2010-01-01 16:11:00,476,1070,$94.09,Swipe Transaction,59935,Alburtis,PA,18011.0,5499,
7478349,2010-01-01 16:41:00,1147,2042,$38.91,Online Transaction,39021,ONLINE,,,4784,
7478595,2010-01-01 18:03:00,803,1172,$42.60,Swipe Transaction,75936,Turlock,CA,95382.0,5814,
7478674,2010-01-01 18:33:00,1391,4107,$48.10,Swipe Transaction,19114,Rego Park,NY,11374.0,5812,
7479178,2010-01-01 21:31:00,1594,3241,$18.51,Swipe Transaction,32175,Palm Bay,FL,32908.0,7538,
7479240,2010-01-01 22:02:00,846,221,$80.01,Swipe Transaction,25717,Omaha,NE,68136.0,5812,
7479333,2010-01-01 22:34:00,1453,1117,$42.02,Swipe Transaction,47588,Parrish,AL,35580.0,5812,Insufficient Balance
7479553,2010-01-02 03:08:00,947,2620,$66.41,Swipe Transaction,86410,Brooklyn,NY,11238.0,5211,
7479827,2010-01-02 07:05:00,208,2426,$60.50,Swipe Transaction,66010,Bothell,WA,98021.0,7538,
7479925,2010-01-02 07:31:00,576,4624,$30.49,Online Transaction,39021,ONLINE,,,4784,
7480241,2010-01-02 08:55:00,1805,2546,$2.90,Swipe Transaction,57665,Charlevoix,MI,49720.0,5812,
